Ref,Val,Package,PosX,PosY,Rot,Side
"RV25","68V","RV_Disc_D15.5mm_W5.4mm_P7.5mm",201.470000,-112.777500,0.000000,top
"SW1","EN","SW_Push_SPST_NO_Alps_SKRK",170.962500,-53.223000,0.000000,top
"SW2","BOOT","SW_Push_SPST_NO_Alps_SKRK",170.907500,-57.298500,0.000000,top
"TP1","Gnd","TestPoint_Pad_D1.5mm",105.000000,-74.000000,0.000000,top
"TP2","5V","TestPoint_Pad_D1.5mm",110.000000,-74.000000,0.000000,top
"TP3","3v3","TestPoint_Pad_D1.5mm",115.000000,-74.000000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",129.814500,-70.531500,-90.000000,top
"U2","EL817","SOP-4_3.8x4.1mm_P2.54mm",95.000000,-63.770000,0.000000,top
"U3","HLK-PM01","Converter_ACDC_Hi-Link_HLK-PMxx",63.000000,-99.000000,90.000000,top
"U4","ESP32-WROOM-32U","ESP32-WROOM-32U",146.959500,-62.426500,0.000000,top
"U5","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm",167.914500,-69.031500,-90.000000,top
